   2.98767       89.6898      0.713499      0.101432    
   2.97575       89.3796       1.42708      0.202173    
   2.96423       89.0694       2.14079      0.302249    
   2.95311       88.7595       2.85466      0.401684    
   2.94239       88.4496       3.56873      0.500504    
   2.93205       88.1401       4.28304      0.598732    
   2.92208       87.8307       4.99762      0.696390    
   2.91248       87.5217       5.71252      0.793502    
   2.90325       87.2130       6.42778      0.890088    
   2.89438       86.9047       7.14342      0.986172    
   2.88585       86.5968       7.85950       1.08177    
   2.87768       86.2895       8.57604       1.17691    
   2.86985       85.9826       9.29309       1.27161    
   2.86235       85.6763       10.0107       1.36589    
   2.85518       85.3706       10.7288       1.45976    
   2.84835       85.0655       11.4476       1.55325    
   2.84183       84.7612       12.1671       1.64638    
   2.83564       84.4576       12.8872       1.73916    
   2.82976       84.1547       13.6081       1.83161    
   2.82420       83.8527       14.3297       1.92375    
   2.81894       83.5516       15.0522       2.01560    
   2.81399       83.2514       15.7755       2.10717    
   2.80934       82.9521       16.4996       2.19848    
   2.80499       82.6539       17.2247       2.28955    
   2.80094       82.3567       17.9507       2.38040    
   2.79719       82.0605       18.6777       2.47104    
   2.79373       81.7656       19.4057       2.56148    
   2.79056       81.4718       20.1348       2.65175    
   2.78767       81.1792       20.8649       2.74186    
   2.78508       80.8879       21.5962       2.83182    
   2.78277       80.5979       22.3286       2.92166    
   2.78075       80.3093       23.0622       3.01138    
   2.77901       80.0220       23.7970       3.10100    
   2.77755       79.7363       24.5331       3.19054    
   2.77638       79.4520       25.2704       3.28001    
   2.77548       79.1692       26.0091       3.36943    
   2.77487       78.8881       26.7491       3.45881    
   2.77453       78.6086       27.4904       3.54818    
   2.77448       78.3307       28.2332       3.63753    
   2.77471       78.0546       28.9774       3.72689    
   2.77521       77.7803       29.7231       3.81628    
   2.77600       77.5077       30.4702       3.90570    
   2.77707       77.2370       31.2188       3.99518    
   2.77842       76.9683       31.9690       4.08473    
   2.78005       76.7014       32.7208       4.17436    
   2.78196       76.4366       33.4741       4.26410    
   2.78416       76.1738       34.2290       4.35394    
   2.78664       75.9132       34.9856       4.44392    
   2.78941       75.6546       35.7438       4.53405    
   2.79247       75.3982       36.5037       4.62433    
   2.79582       75.1441       37.2652       4.71480    
   2.79946       74.8922       38.0285       4.80545    
   2.80340       74.6427       38.7935       4.89632    
   2.80763       74.3955       39.5603       4.98741    
   2.81217       74.1508       40.3288       5.07875    
   2.81700       73.9085       41.0991       5.17034    
   2.82214       73.6687       41.8711       5.26221    
   2.82758       73.4314       42.6450       5.35438    
   2.83334       73.1967       43.4207       5.44685    
   2.83941       72.9647       44.1982       5.53965    
   2.84580       72.7354       44.9775       5.63280    
   2.85252       72.5088       45.7587       5.72631    
   2.85955       72.2850       46.5417       5.82020    
   2.86692       72.0640       47.3266       5.91450    
   2.87463       71.8459       48.1133       6.00921    
   2.88267       71.6307       48.9019       6.10437    
   2.89106       71.4185       49.6924       6.19998    
   2.89979       71.2092       50.4847       6.29608    
   2.90889       71.0030       51.2788       6.39267    
   2.91834       70.7999       52.0749       6.48979    
   2.92817       70.6000       52.8727       6.58745    
   2.93836       70.4032       53.6724       6.68567    
   2.94894       70.2096       54.4740       6.78449    
   2.95991       70.0193       55.2774       6.88391    
   2.97127       69.8323       56.0826       6.98397    
   2.98303       69.6487       56.8896       7.08470    
   2.99521       69.4684       57.6984       7.18610    
   3.00780       69.2916       58.5089       7.28822    
   3.02082       69.1183       59.3213       7.39107    
   3.03428       68.9484       60.1354       7.49469    
   3.04818       68.7821       60.9512       7.59910    
   3.06255       68.6194       61.7687       7.70434    
   3.07737       68.4604       62.5879       7.81042    
   3.09268       68.3050       63.4087       7.91739    
   3.10848       68.1533       64.2312       8.02527    
   3.12478       68.0053       65.0553       8.13409    
   3.14159       67.8612       65.8810       8.24390    
   3.15893       67.7208       66.7082       8.35472    
   3.17680       67.5843       67.5369       8.46660    
   3.19524       67.4517       68.3671       8.57956    
   3.21424       67.3230       69.1988       8.69365    
   3.23383       67.1982       70.0319       8.80891    
   3.25402       67.0774       70.8663       8.92537    
   3.27483       66.9606       71.7021       9.04309    
   3.29627       66.8479       72.5391       9.16211    
   3.31837       66.7393       73.3774       9.28247    
   3.34114       66.6347       74.2169       9.40423    
   3.36461       66.5343       75.0576       9.52743    
   3.38879       66.4380       75.8994       9.65212    
   3.41371       66.3459       76.7422       9.77836    
   3.43940       66.2580       77.5861       9.90621    
   3.46587       66.1743       78.4309       10.0357    
   3.49315       66.0949       79.2766       10.1670    
   3.52127       66.0197       80.1233       10.3000    
   3.55026       65.9488       80.9707       10.4349    
   3.58014       65.8823       81.8188       10.5717    
   3.61096       65.8201       82.6677       10.7105    
   3.64274       65.7622       83.5172       10.8515    
   3.67551       65.7087       84.3673       10.9945    
   3.70932       65.6595       85.2179       11.1398    
   3.74420       65.6147       86.0690       11.2875    
   3.78020       65.5744       86.9205       11.4376    
   3.81735       65.5384       87.7724       11.5902    
   3.85570       65.5069       88.6245       11.7454    
